en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Tillandsia afonsoana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Tillandsia araujei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ|BR-SP,
,,Tillandsia brachyphylla,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Tillandsia carminea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-RJ,
,,Tillandsia crocata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-PR|BR-RJ|BR-RS|BR-SP,
,,Tillandsia grazielae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Tillandsia heubergeri,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-BA,
,,Tillandsia jonesii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Tillandsia kautskyi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Tillandsia neglecta,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Tillandsia reclinata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Tillandsia roseiflora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-RJ,
,,Tillandsia sucrei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Tillandsia xiphioides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Vriesea agostiniana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea altimontana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-RJ,
,,Vriesea altomacaensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea amethystina,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Vriesea arachnoidea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-RJ,
,,Vriesea biguassuensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SC,
,,Vriesea bleherae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea botafogensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea cacuminis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-MG,
,,Vriesea calimaniana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Vriesea cearensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-CE,
,,Vriesea delicatula,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Vriesea diamantinensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Vriesea eltoniana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea fluminensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea fontourae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea fradensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea garlippiana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-RJ,
,,Vriesea gracilior,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Vriesea kautskyana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Vriesea leptantha,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude,,BR-RJ,
,,Vriesea longistaminea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Vriesea menescalii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Vriesea minarum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Vriesea nubicola,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude,,BR-RJ,
,,Vriesea pastuchoffiana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea penduliflora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-RJ,
,,Vriesea pinottii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-SC,
,,Vriesea racinae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Vriesea rubyae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea saundersii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea saxicola,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Vriesea sazimae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-SP,
,,Vriesea sucrei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-RJ,
,,Vriesea teresopolitana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea thyrsoidea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea vidalii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea warmingii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Vriesea wawranea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-PE,
,,Vriesea weberi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Vriesea zildae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Wittrockia superba,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RJ|BR-SC|BR-SP,
,,Pringleella subulata,,,Bruchiaceae,Tufo,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-MG|BR-RJ,
,,Bursera pereirae,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Decidual,,BR-GO,
,,Bursera simaruba,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Floresta Estacional Decidual|Floresta Estacional Semidecidual,,BR-AM|BR-RR,
,,Dacryodes edilsonii,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial),,BR-AC,
,,Protium bahianum,,,Burseraceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-AL|BR-BA|BR-PE|BR-SE,
,,Protium breviacuminatum,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Tetragastris catuaba,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-PE,
,,Protium giganteum var. crassifolium,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial),,BR-AP|BR-PA,
,,Protium glaziovii,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ,
,,Protium icicariba var. talmonii,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Protium inodorum,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),native,Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial),,BR-PA,
,,Tetragastris occhionii,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-AL|BR-BA|BR-SE,
,,Trattinnickia ferruginea,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Terra Firme,,BR-MG,
,,Trattinnickia mensalis,,,Burseraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-BA|BR-ES,
,,Arrojadoa bahiensis,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA,
,,Arrojadoa eriocaulis,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Cerrado (lato sensu),,BR-BA|BR-MG,
,,Arthrocereus glaziovii,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Arthrocereus melanurus subsp. melanurus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG|BR-SP,
,,Arthrocereus melanurus subsp. magnus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Arthrocereus melanurus subsp. odorus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Arthrocereus rondonianus,,,Cactaceae,Arbusto|Subarbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-MG,
,,Brasilicereus markgrafii,,,Cactaceae,Arbusto|Subarbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Cerrado (lato sensu),,BR-MG,
,,Cereus mirabella,,,Cactaceae,Arbusto|Liana/volúvel/trepadeira|Suculenta,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu),,BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-TO,
,,Cipocereus bradei,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Cipocereus crassisepalus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco|Floresta Estacional Semidecidual,,BR-MG,
,,Cipocereus laniflorus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Cipocereus minensis,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Cipocereus pusilliflorus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre|Carrasco,,BR-MG,
,,Coleocephalocereus buxbaumianus subsp. flavisetus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Coleocephalocereus purpureus,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Discocactus bahiensis,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu)|Campo rupestre|Carrasco,,BR-BA|BR-CE|BR-PE|BR-PI,
,,Discocactus catingicola,,,Cactaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-GO|BR-MG|BR-MS|BR-MT|BR-PI|BR-TO,
,,Discocactus horstii,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Discocactus pseudoinsignis,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Discocactus zehntneri,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Carrasco|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-CE,
,,Echinopsis calochlora,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos,,BR-MS|BR-MT,
,,Echinopsis oxygona,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Espostoopsis dybowskii,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Facheiroa cephaliomelana,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG,
,,Facheiroa cephaliomelana subsp. estevesii,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco,,BR-BA,
,,Facheiroa ulei,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Frailea buenekeri,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo Limpo|Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Frailea castanea,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Frailea mammifera,,,Cactaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Frailea phaeodisca,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Frailea pumila,,,Cactaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Frailea pygmaea,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Vulnerável (VU),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Gymnocalycium denudatum,,,Cactaceae,Erva|Subarbusto|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Campo Limpo|Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Hatiora herminiae,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo de Altitude|Floresta Estacional Perenifólia|Floresta Ombrófila Mista,,BR-MG|BR-SP,
,,Melocactus azureus,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Melocactus conoideus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre|Carrasco,,BR-BA,
,,Melocactus deinacanthus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Caatinga (stricto sensu)|Carrasco|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Melocactus ferreophilus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Melocactus glaucescens,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Melocactus lanssensianus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-PB|BR-PE,
,,Melocactus pachyacanthus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Melocactus paucispinus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Carrasco,,BR-BA,
,,Melocactus violaceus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Restinga,,BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE,
,,Melocactus violaceus subsp. ritteri,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-BA,
,,Micranthocereus albicephalus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-BA|BR-MG,
,,Micranthocereus auriazureus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-MG,
,,Micranthocereus dolichospermaticus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG,
,,Micranthocereus polyanthus,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA,
,,Micranthocereus streckeri,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre|Carrasco,,BR-BA,
,,Micranthocereus violaciflorus,,,Cactaceae,Arbusto|Subarbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-MG,
,,Parodia concinna,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Parodia crassigibba,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Parodia erinacea,,,Cactaceae,subshrub,subshrub,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-PR|BR-RS|BR-SC,
,,Parodia mammulosa,,,Cactaceae,subshrub,subshrub,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Parodia oxycostata,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Vulnerável (VU),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Parodia rechensis,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Parodia scopa,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),native,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Pereskia aureiflora,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG,
,,Pilosocereus aurisetus subsp. aurilanatus,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Pilosocereus azulensis,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Caatinga (stricto sensu)|Floresta Estacional Decidual,,BR-MG,
,,Pilosocereus floccosus subsp. quadricostatus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG,
,,Pilosocereus fulvilanatus,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Carrasco,,BR-MG,
,,Pilosocereus glaucochrous,,,Cactaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu)|Carrasco,,BR-BA,
,,Pilosocereus magnificus,,,Cactaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Pilosocereus multicostatus,,,Cactaceae,Arbusto|Suculenta,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Pilosocereus ulei,,,Cactaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Rhipsalis agudoensis,,,Cactaceae,Erva|Subarbusto|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Rhipsalis cereoides,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-RJ,
,,Rhipsalis flagelliformis,,,Cactaceae,Erva|Subarbusto|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Rhipsalis mesembryanthemoides,,,Cactaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Rhipsalis ormindoi,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Rhipsalis pacheco-leonis,,,Cactaceae,Erva|Subarbusto|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG|BR-RJ,
,,Rhipsalis paradoxa subsp. septentrionalis,,,Cactaceae,Subarbusto|Suculenta,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES|BR-MG|BR-PE,
